Question,Starting Column,Variable Name,Field Length,DESC,Keep
125,343,MEDSCOST,1,,No
126,344,CARERCVD,1,,No
127,345,MEDBILLS,1,,No
128,346,SSBSUGAR,3,Nutrition_Sugar_Drinks,No
129,349,SSBFRUT2,3,Nutrition_Sugar_fruit_drinks,No
130,352,WTCHSALT,1,Watching_salt_intake,Yes
131,353,LONGWTCH,3,,No
132,356,DRADVISE,1,Doctor_advised_salt_reduction,Yes
133,357,ASTHMAGE,2,,No
134,359,ASATTACK,1,,No
135,360,ASERVIST,2,,No
136,362,ASDRVIST,2,,No
137,364,ASRCHKUP,2,,No
138,366,ASACTLIM,3,,No
139,369,ASYMPTOM,1,,No
140,370,ASNOSLEP,1,,No
141,371,ASTHMED3,1,,No
142,372,ASINHALR,1,,No
143,373,HAREHAB1,1,,Later
144,374,STREHAB1,1,,Later
145,375,CVDASPRN,1,,Later
146,376,ASPUNSAF,1,,Later
147,377,RLIVPAIN,1,,Later
148,378,RDUCHART,1,,Later
149,379,RDUCSTRK,1,,Later
150,380,ARTTODAY,1,,No
151,381,ARTHWGT,1,,No
152,382,ARTHEXER,1,,No
153,383,ARTHEDU,1,,No
154,384,IMFVPLAC,2,,No
155,386,HPVADVC2,1,,No
156,387,HPVADSHT,2,,No
157,389,HADMAM,1,,No
158,390,HOWLONG,1,,No
159,391,PROFEXAM,1,,No
160,392,LENGEXAM,1,,No
161,393,HADPAP2,1,,No
162,394,LASTPAP2,1,,No
163,395,HADHYST2,1,,No
164,396,BLDSTOOL,1,,No
165,397,LSTBLDS3,1,,No
166,398,HADSIGM3,1,,No
167,399,HADSGCO1,1,,No
168,400,LASTSIG3,1,,No
169,401,PCPSAAD2,1,,Later
170,402,PCPSADI1,1,,Later
171,403,PCPSARE1,1,,Later
172,404,PSATEST1,1,,Later
173,405,PSATIME,1,,Later
174,406,PCPSARS1,1,,Later
175,407,PCPSADE1,1,,Later
176,408,PCDMDECN,4,,Later
177,412,RRCLASS2,1,,No
178,413,RRCOGNT2,1,,No
179,414,RRATWRK2,1,,No
180,415,RRHCARE3,1,,No
181,416,RRPHYSM2,1,,No
182,417,RREMTSM2,1,,No
183,418,MISNERVS,1,,Later
184,419,MISHOPLS,1,,Later
185,420,MISRSTLS,1,,Later
186,421,MISDEPRD,1,,Later
187,422,MISEFFRT,1,,Later
188,423,MISWTLES,1,,Later
189,424,MISNOWRK,2,,Later
190,426,MISTMNT,1,,Later
191,427,MISTRHLP,1,,Later
192,428,MISPHLPF,1,,Later
193,479,SCNTMONY,1,,No
194,480,SCNTMEAL,1,,No
195,481,SCNTPAID,1,,No
196,482,SCNTWRK1,2,,No
197,484,SCNTLPAD,1,,No
198,485,SCNTLWK1,2,,No
199,487,SCNTVOT1,1,,No
200,494,RCSGENDR,1,,No
201,529,RCSRLTN2,1,,No
202,530,CASTHDX2,1,,No
203,531,CASTHNO2,1,,No
204,532,EMTSUPRT,1,,No
205,533,LSATISFY,1,,No
206,580,CTELNUM1,1,,No
207,581,CELLFON2,1,,No
208,582,CADULT,1,,No
209,583,PVTRESD2,1,,No
210,584,CCLGHOUS,1,,No
211,585,CSTATE,1,,No
212,588,LANDLINE,1,,No
213,589,PCTCELL,3,,No
214,592,QSTVER,2,,No
215,594,QSTLANG,2,,No
216,1306,MSCODE,1,,No
217,1307,_STSTR,6,,No
218,1313,_STRWT,10,,No
219,1343,_RAWRAKE,10,,No
220,1353,_WT2RAKE,10,,No
221,1367,_IMPRACE,2,,No
222,1369,_IMPNPH,1,,No
223,1373,_IMPEDUC,1,,No
224,1374,_IMPMRTL,1,,No
225,1375,_IMPHOME,1,,No
226,1560,_CHISPNC,1,,No
227,1617,_CRACE1,2,,No
228,1619,_IMPCAGE,1,,No
229,1620,_IMPCRAC,1,,No
230,1621,_IMPCSEX,1,,No
231,1748,_CLLCPWT,10,,No
232,1884,_DUALUSE,1,,No
233,1885,_DUALCOR,10,,No
234,1895,_LLCPWT2,10,,No
235,1953,_LLCPWT,10,,No
236,2101,_RFHLTH,1,,No
237,2102,_HCVU651,1,,No
238,2103,_RFHYPE5,1,,Later
239,2104,_CHOLCHK,1,,Later
240,2105,_RFCHOL,1,,Later
241,2106,_LTASTH1,1,,No
242,2107,_CASTHM1,1,,No
243,2108,_ASTHMS1,1,,No
244,2109,_DRDXAR1,1,,No
245,2166,_PRACE1,2,,No
246,2168,_MRACE1,2,,No
247,2172,_HISPANC,1,,No
248,2173,_RACE,1,,No
249,2174,_RACEG21,1,,No
250,2175,_RACEGR3,1,,No
251,2176,_RACE_G1,1,,No
252,2177,_AGEG5YR,2,Age_category,Yes
253,2179,_AGE65YR,1,,No
254,2180,_AGE_G,1,,No
255,2181,HTIN4,3,Height_inches,Yes
256,2184,HTM4,3,Height_m,Yes
257,2187,WTKG3,5,Weight_kg,Yes
258,2192,_BMI5,4,BMI,Yes
259,2196,_BMI5CAT,1,BMI_Category,Yes
260,2197,_RFBMI5,1,BMI_Obesity,Yes
261,2198,_CHLDCNT,1,,No
262,2199,_EDUCAG,1,Demo_edu_level,Yes
263,2200,_INCOMG,1,Demo_income_group,Yes
264,2201,_SMOKER3,1,Smoke_smoker_type,Later
265,2202,_RFSMOK3,1,Smoke_current_smoker,Later
266,2203,DRNKANY5,1,Alcohol_any_drink_in_last_month,Yes
267,2204,DROCDY3_,3,Drink_occasions_per_day,Yes
268,2207,_RFBING5,1,Alcohol_Binge_drinker,Yes
269,2208,_DRNKDY4,4,Alcohol_Drinks_per_day,Yes
270,2212,_DRNKMO4,4,Alcohol_Drinks_per_month,Yes
271,2216,_RFDRHV4,1,,No
272,2217,_RFDRMN4,1,,No
273,2218,_RFDRWM4,1,,No
274,2219,FTJUDA1_,4,Nutrition_Fruit_juice_times_per_day,Yes
275,2223,FRUTDA1_,4,Nutrition_Fruit_times_per_day,Yes
276,2227,BEANDAY_,4,Nutrition_Beans_times_per_day,Yes
277,2231,GRENDAY_,4,Nutrition_Green_times_per_day,Yes
278,2235,ORNGDAY_,4,Nutrition_Orange_veg_times_per_day,Yes
279,2239,VEGEDA1_,4,Nutrition_Vegetable_times_per_day,Yes
280,2243,_MISFRTN,1,,No
281,2244,_MISVEGN,1,,No
282,2245,_FRTRESP,1,,No
283,2246,_VEGRESP,1,,No
284,2247,_FRUTSUM,6,Nutrition_Fruit_per_day,Yes
285,2253,_VEGESUM,6,Nutrition_Vegetable_per_day,Yes
286,2259,_FRTLT1,1,,No
287,2260,_VEGLT1,1,,No
288,2261,_FRT16,1,,No
289,2262,_VEG23,1,,No
290,2263,_FRUITEX,1,,No
291,2264,_VEGETEX,1,,No
292,2265,_FRTLT1,1,,No
293,2266,_VEGLT1,1,,No
294,2267,_TOTINDA,1,Activity_yes__no,Yes
295,2268,METVL11_,3,Activity_1_MET,Yes
296,2271,METVL21_,3,Activity_2_MET,Yes
297,2274,MAXVO2_,5,Max_O2_consumption,Yes
298,2279,FC60_,5,Functional_capacity,Yes
299,2284,ACTIN11_,1,Activity_1_intensity,Yes
300,2285,ACTIN21_,1,Activity_2_intensity,Yes
301,2286,PADUR1_,3,Activity_1_duration_minutes,Yes
302,2289,PADUR2_,3,Activity_2_duration_minutes,Yes
303,2292,PAFREQ1_,5,Activity_1_weekly_freq,Yes
304,2297,PAFREQ2_,5,Activity_2_weekly_freq,Yes
305,2302,_MINAC11,5,,No
306,2307,_MINAC21,5,,No
307,2312,STRFREQ_,5,Strength_Activity_Weekly_frequency,Yes
308,2317,PAMISS1_,1,,No
309,2318,PAMIN11_,5,Activity_1_weekly_duration_minutes,Yes
310,2323,PAMIN21_,5,Activity_2_weekly_duration_minutes,Yes
311,2328,PA1MIN_,5,Total_Activity_weekly_duration_minutes,Yes
312,2333,PAVIG11_,5,Vigorous_Activity_1_weekly_duration_minutes,Yes
313,2338,PAVIG21_,5,Vigorous_Activity_2_weekly_duration_minutes,Yes
314,2343,PA1VIGM_,5,Total_Vigorous_Activity_weekly_duration_minutes,Yes
315,2348,_PACAT1,1,Activity_category,Yes
316,2349,_PAINDX1,1,Activity_index,Yes
317,2350,_PA150R2,1,,No
318,2351,_PA300R2,1,,No
319,2352,_PA30021,1,,No
320,2353,_PASTRNG,1,Muscle_strengthening_guideline,Yes
321,2354,_PAREC1,1,Aerobic_and_strengthening_guideline,Yes
322,2355,_PASTAE1,1,,No
323,2356,_LMTACT1,1,,No
324,2357,_LMTWRK1,1,,No
325,2358,_LMTSCL1,1,,No
326,2359,_RFSEAT2,1,,No
327,2360,_RFSEAT3,1,,No
328,2361,_FLSHOT6,1,,No
329,2362,_PNEUMO2,1,,No
330,2363,_AIDTST3,1,,No
331,2364,_AGE80,2,,No
